VALUE,COUNT
0,2384022306
1,1982063793
2,1139580255
3,762675360
4,540629498
5,398637280
6,305820439
7,244568186
8,202732906
9,172648314
10,150081199
11,132627772
12,118759437
13,107529237
14,98283680
15,90438465
16,83617488
17,77577307
18,72103528
19,67137792
20,62566472
21,58314609
22,54388380
23,50722799
24,47312061
25,44089375
26,41026087
27,38047686
28,35149489
29,32263442
30,29384652
31,26534481
32,23673135
33,20821048
34,18034162
35,15311207
36,12721811
37,10354906
38,8293787
39,6565905
40,5185363
41,4097717
42,3258320
43,2619275
44,2123381
45,1732029
46,1429149
47,1191648
48,997684
49,842633
50,715255
51,610121
52,523801
53,450658
54,389480
55,335064
56,289965
57,252276
58,218485
59,186988
60,161715
61,139712
62,120118
63,102693
64,86480
65,73398
66,61468
67,51393
68,42981
69,34703
70,27275
71,21218
72,15996
73,11608
74,7962
75,5281
76,3202
77,1950
78,1029
79,537
80,254
81,107
82,80
83,56
84,41
85,25
86,10
87,8
